日付け,終値
2014.8.20,1279.64
2014.8.21,1291.19
2014.8.22,1286.07
2014.8.25,1291.31
2014.8.26,1285.01
2014.8.27,1285.92
2014.8.28,1280.74
2014.8.29,1277.97
2014.9.1,1283.06
2014.9.2,1297.00
2014.9.3,1301.52
2014.9.4,1296.39
2014.9.5,1293.21
2014.9.8,1298.64
2014.9.9,1299.62
2014.9.10,1306.79
2014.9.11,1311.24
2014.9.12,1313.72
2014.9.16,1310.86
2014.9.17,1304.96
2014.9.18,1317.91
2014.9.19,1331.91
2014.9.22,1330.88
2014.9.24,1326.18
2014.9.25,1346.43
2014.9.26,1331.95
2014.9.29,1337.30
2014.9.30,1326.29
2014.10.1,1318.21
2014.10.2,1280.15
2014.10.3,1282.54
2014.10.6,1296.40
2014.10.7,1290.89
2014.10.8,1274.85
2014.10.9,1260.78
2014.10.10,1243.09
2014.10.14,1214.27
2014.10.15,1223.67
2014.10.16,1195.50
2014.10.17,1177.22
2014.10.20,1224.34
2014.10.21,1205.36
2014.10.22,1236.41
2014.10.23,1232.34
2014.10.24,1242.32
2014.10.27,1254.28
2014.10.28,1252.00
2014.10.29,1270.64
2014.10.30,1278.90
2014.10.31,1333.64
2014.11.4,1368.65
2014.11.5,1371.76
2014.11.6,1356.35
2014.11.7,1363.67
2014.11.10,1360.11
2014.11.11,1375.21
2014.11.12,1377.05
2014.11.13,1389.51
2014.11.14,1400.41
2014.11.17,1366.13
2014.11.18,1394.88
2014.11.19,1396.54
2014.11.20,1397.64
2014.11.21,1400.18
2014.11.25,1409.15
2014.11.26,1406.40
2014.11.27,1391.90
2014.11.28,1410.34
2014.12.1,1421.65
2014.12.2,1427.85
2014.12.3,1429.75
2014.12.4,1440.60
2014.12.5,1445.67
2014.12.8,1447.58
2014.12.9,1436.09
2014.12.10,1406.83
2014.12.11,1397.04
2014.12.12,1399.65
2014.12.15,1379.29
2014.12.16,1353.37
2014.12.17,1352.01
2014.12.18,1376.32
2014.12.19,1409.61
2014.12.22,1413.05
2014.12.24,1426.02
2014.12.25,1421.26
2014.12.26,1427.50
2014.12.29,1424.67
2014.12.30,1407.51
2015.1.5,1401.09
2015.1.6,1361.14
2015.1.7,1359.80
2015.1.8,1377.67
2015.1.9,1380.58
2015.1.13,1374.69
2015.1.14,1357.98
2015.1.15,1376.60
2015.1.16,1363.73
2015.1.19,1372.41
2015.1.20,1397.63
2015.1.21,1390.61
2015.1.22,1389.43
2015.1.23,1403.22
2015.1.26,1402.08
2015.1.27,1426.38
2015.1.28,1429.92
2015.1.29,1413.58
2015.1.30,1415.07
2015.2.2,1408.75
2015.2.3,1392.39
2015.2.4,1417.00
2015.2.5,1410.11
