日付け,終値
2014.11.11,24620
2014.11.12,24600
2014.11.13,24000
2014.11.14,23880
2014.11.17,24100
2014.11.18,24400
2014.11.19,24360
2014.11.20,24200
2014.11.21,24460
2014.11.24,24400
2014.11.25,23800
2014.11.26,24020
2014.11.27,25280
2014.11.28,25740
2014.12.1,25900
2014.12.2,25900
2014.12.3,25960
2014.12.4,26000
2014.12.5,26040
2014.12.8,26380
2014.12.9,26980
2014.12.10,26340
2014.12.11,26100
2014.12.12,25720
2014.12.15,25460
2014.12.16,25580
2014.12.17,25320
2014.12.18,25320
2014.12.19,26560
2014.12.22,26900
2014.12.23,26780
2014.12.24,26860
2014.12.26,27040
2014.12.29,26580
2014.12.30,26540
2015.1.2,26600
2015.1.5,26660
2015.1.6,25900
2015.1.7,26140
2015.1.8,26280
2015.1.9,26280
2015.1.12,26320
2015.1.13,26780
2015.1.14,26900
2015.1.15,26680
2015.1.16,26320
2015.1.19,26860
2015.1.20,27440
2015.1.21,27900
2015.1.22,27560
2015.1.23,27720
2015.1.26,27780
2015.1.27,28000
2015.1.28,27560
2015.1.29,27200
2015.1.30,27300
2015.2.2,27360
2015.2.3,27320
2015.2.4,27180
2015.2.5,27160
2015.2.6,27440
2015.2.9,27900
2015.2.10,27560
2015.2.11,27100
2015.2.12,26880
2015.2.13,27220
2015.2.16,27480
2015.2.17,27540
2015.2.23,27340
2015.2.24,27340
2015.2.25,27580
2015.2.26,27500
2015.2.27,27140
2015.3.2,28460
2015.3.3,28360
2015.3.4,28740
2015.3.5,28440
2015.3.6,28840
2015.3.9,28400
2015.3.10,28420
2015.3.11,29480
2015.3.12,28940
2015.3.13,29140
2015.3.16,29400
2015.3.17,29940
2015.3.18,30060
2015.3.19,29400
2015.3.20,29280
2015.3.23,29340
2015.3.24,29520
2015.3.25,29700
2015.3.26,28420
2015.3.27,28420
2015.3.30,28560
2015.3.31,28820
2015.4.1,28460
2015.4.2,28680
2015.4.3,28680
2015.4.6,29400
2015.4.7,29240
2015.4.8,29580
2015.4.9,29660
2015.4.10,29800
2015.4.13,29580
2015.4.14,29480
2015.4.15,28920
2015.4.16,29540
2015.4.17,29000
2015.4.20,28600
2015.4.21,28880
2015.4.22,29220
2015.4.23,29020
2015.4.24,28200
2015.4.27,27900
2015.4.28,27320
2015.4.29,27700
2015.4.30,28200
2015.5.4,28000
2015.5.6,27240
2015.5.7,27400
2015.5.8,26760
2015.5.11,26720
2015.5.12,26620
2015.5.13,26660
2015.5.14,26800
2015.5.15,26520
2015.5.18,26400
2015.5.19,26760
2015.5.20,27320
2015.5.21,27040
2015.5.22,27000
2015.5.26,27240
2015.5.27,26280
2015.5.28,26180
2015.5.29,26140
2015.6.1,25820
2015.6.2,26060
2015.6.3,25460
2015.6.4,26740
2015.6.5,26820
2015.6.8,26280
2015.6.9,25640
2015.6.10,25240
2015.6.11,25140
2015.6.12,25540
2015.6.15,25400
2015.6.16,25100
2015.6.17,25080
2015.6.18,25300
2015.6.19,25320
2015.6.22,25620
2015.6.23,26420
2015.6.24,26040
2015.6.25,25380
2015.6.26,25560
2015.6.29,25620
2015.6.30,25360
2015.7.1,25900
2015.7.2,25980
2015.7.3,25360
2015.7.6,24600
2015.7.7,24800
2015.7.8,24780
2015.7.9,25300
2015.7.10,25180
2015.7.13,25320
2015.7.14,24500
2015.7.15,24700
2015.7.16,25640
2015.7.17,26100
2015.7.20,25500
2015.7.21,25260
2015.7.22,25060
2015.7.23,24680
2015.7.24,24580
2015.7.27,24600
2015.7.28,24600
2015.7.29,25260
2015.7.30,24300
2015.7.31,23700
2015.8.3,23500
2015.8.4,23640
2015.8.5,23180
2015.8.6,22300
2015.8.7,22720
2015.8.10,22820
2015.8.11,23140
2015.8.12,23080
2015.8.13,22800
2015.8.14,22800
2015.8.17,22080
2015.8.18,22620
2015.8.19,23080
2015.8.20,22780
2015.8.21,22020
2015.8.24,21580
2015.8.25,21580
2015.8.26,21340
2015.8.27,21340
2015.8.28,21620
2015.8.31,21780
2015.9.1,21700
2015.9.2,21800
2015.9.3,22440
2015.9.4,22580
2015.9.7,22240
2015.9.8,22620
2015.9.9,22940
2015.9.10,22680
2015.9.11,22300
2015.9.14,22480
2015.9.15,22460
